DATE,TEMPERATURE
28-02-1982,-0.775
31-03-1982,3.74375
30-04-1982,10.69375
31-05-1982,13.1375
30-06-1982,18.1375
31-07-1982,20.03125
31-08-1982,19.01875
30-09-1982,15.675
31-10-1982,11.81875
30-11-1982,6.31875
31-12-1982,1.6
31-01-1983,-0.11875
28-02-1983,0.63125
31-03-1983,3.74375
30-04-1983,8.60625
31-05-1983,13.70625
30-06-1983,17.3
31-07-1983,18.9125
31-08-1983,19.3375
30-09-1983,17.0375
31-10-1983,11.44375
30-11-1983,6.8375
31-12-1983,2.35625
31-01-1984,-0.00625
29-02-1984,-0.34375
31-03-1984,7.80625
30-04-1984,11.08125
31-05-1984,16.5125
30-06-1984,20.425
31-07-1984,19.23125
31-08-1984,19.3625
30-09-1984,15.10625
31-10-1984,11.28125
30-11-1984,6.16875
31-12-1984,1.675
31-01-1985,-0.11875
28-02-1985,2.7
31-03-1985,8.025
30-04-1985,11.65
31-05-1985,15.14375
30-06-1985,18.61875
31-07-1985,19.79375
31-08-1985,19.21875
30-09-1985,16.925
31-10-1985,11.175
30-11-1985,6.71875
31-12-1985,2.6125
31-01-1986,-1.175
28-02-1986,1.25625
31-03-1986,4.775
30-04-1986,10.325
31-05-1986,13.30625
30-06-1986,18.05
31-07-1986,19.0875
31-08-1986,18.55625
30-09-1986,16.24375
31-10-1986,12.3125
30-11-1986,6.88125
31-12-1986,0.9125
31-01-1987,0.71875
28-02-1987,2.73125
31-03-1987,6.55
30-04-1987,11.275
31-05-1987,11.73125
30-06-1987,17.4375
31-07-1987,19.625
31-08-1987,19.7375
30-09-1987,17.68125
31-10-1987,11.99375
30-11-1987,7.3
31-12-1987,3.03125
31-01-1988,1.90625
29-02-1988,2.875
31-03-1988,5.51875
30-04-1988,12.56875
31-05-1988,16.625
30-06-1988,18.54375
31-07-1988,19.99375
31-08-1988,18.5
30-09-1988,16.6125
31-10-1988,11.65625
30-11-1988,7.4
31-12-1988,3.14375
31-01-1989,-0.80625
28-02-1989,0.35625
31-03-1989,5.525
30-04-1989,9.40625
31-05-1989,14.225
30-06-1989,17.4625
31-07-1989,18.75625
31-08-1989,17.8125
30-09-1989,16.34375
31-10-1989,12.14375
30-11-1989,6.25
31-12-1989,2.7625
31-01-1990,2.19375
28-02-1990,1.725
31-03-1990,4.8125
30-04-1990,10.28125
31-05-1990,16.675
30-06-1990,19.15
31-07-1990,19.79375
31-08-1990,19.1
30-09-1990,17.4375
31-10-1990,11.475
30-11-1990,7.5125
31-12-1990,2.41875
31-01-1991,-0.81875
28-02-1991,0.70625
31-03-1991,5.6375
30-04-1991,9.55
31-05-1991,13.3625
30-06-1991,18.3625
31-07-1991,20.24375
31-08-1991,18.88125
30-09-1991,16.71875
31-10-1991,11.06875
30-11-1991,6.39375
31-12-1991,3.3125
31-01-1992,0.65625
29-02-1992,0.8375
31-03-1992,4.9375
30-04-1992,9.775
31-05-1992,13.06875
30-06-1992,17.8125
31-07-1992,18.925
31-08-1992,18.4125
30-09-1992,15.51875
31-10-1992,11.73125
30-11-1992,6.675
31-12-1992,3.58125
31-01-1993,-0.9
28-02-1993,3.73125
31-03-1993,4.44375
30-04-1993,11.21875
31-05-1993,15.6375
30-06-1993,18.375
31-07-1993,18.55625
31-08-1993,19.19375
30-09-1993,16.425
31-10-1993,11.56875
30-11-1993,7.34375
31-12-1993,3.11875
31-01-1994,0.9375
28-02-1994,0.875
31-03-1994,7.225
30-04-1994,9.63125
31-05-1994,15.00625
30-06-1994,19.0375
31-07-1994,19.55
31-08-1994,18.96875
30-09-1994,15.19375
31-10-1994,10.825
30-11-1994,7.4625
31-12-1994,2.3875
31-01-1995,-1.20625
28-02-1995,1.38125
31-03-1995,4.99375
30-04-1995,8.93125
31-05-1995,15.0375
30-06-1995,19.11875
31-07-1995,19.44375
31-08-1995,18.29375
30-09-1995,16.00625
31-10-1995,12.0875
30-11-1995,6.69375
31-12-1995,1.81875
31-01-1996,-0.075
29-02-1996,2.15
31-03-1996,6.61875
30-04-1996,11.25625
31-05-1996,13.375
30-06-1996,17.29375
31-07-1996,19.30625
31-08-1996,18.08125
30-09-1996,16.6625
31-10-1996,11.15
30-11-1996,6.09375
31-12-1996,1.8875
31-01-1997,-0.36875
28-02-1997,1.2125
31-03-1997,5.78125
30-04-1997,9.775
31-05-1997,12.5125
30-06-1997,17.325
31-07-1997,19.9625
31-08-1997,18.11875
30-09-1997,16.71875
31-10-1997,9.9
30-11-1997,5.775
31-12-1997,1.11875
31-01-1998,-0.3375
28-02-1998,1.78125
31-03-1998,4.83125
30-04-1998,11.78125
31-05-1998,15.18125
30-06-1998,18.45625
31-07-1998,19.83125
31-08-1998,19.0625
30-09-1998,16.50625
31-10-1998,13.15625
30-11-1998,6.3375
31-12-1998,2.125
31-01-1999,0.3875
28-02-1999,2.60625
31-03-1999,6.75
30-04-1999,12.85
