,1,2,3
216,24.2,21.1,17.3
217,19.9,15.7,14.0
218,15.0,14.2,13.9
219,9.8,11.1,8.8
221,21.0,17.7,13.4
222,16.1,11.7,9.7
223,11.2,9.7,8.9
224,5.5,6.4,4.0
226,14.4,11.5,7.9
227,10.2,6.3,4.2
228,6.1,4.4,3.2
229,0.2,0.9,-1.7
231,8.7,6.1,2.7
232,6.1,2.6,0.2
233,3.5,1.1,-0.3
234,-2.3,-1.8,-5.1
236,4.9,3.0,0.1
237,2.9,-0.2,-2.6
238,0.6,-1.8,-3.1
239,-5.3,-4.9,-8.2
241,2.0,0.1,-3.1
242,-0.7,-4.1,-6.4
243,-3.9,-6.0,-7.2
244,-10.3,-9.6,-12.6
246,1.7,-0.8,-4.5
247,-1.7,-5.8,-8.2
248,-6.0,-7.7,-8.8
249,-12.5,-11.6,-14.5
251,7.0,4.2,0.5
252,2.8,-1.3,-3.3
253,-1.7,-3.2,-4.2
254,-7.8,-6.7,-9.8
256,14.0,10.9,6.7
257,9.8,5.4,3.0
258,5.3,3.6,2.8
259,-1.2,-0.1,-2.9
261,21.6,18.2,13.4
262,16.9,11.8,9.2
263,11.8,9.7,8.4
264,4.9,5.9,2.6
266,24.5,21.0,16.1
267,19.8,14.6,12.3
268,14.4,12.8,11.9
269,8.2,9.2,6.5
271,25.0,22.1,18.2
272,20.6,16.4,14.7
273,15.7,14.8,14.6
274,10.2,11.5,9.1
276,24.9,21.8,18.1
277,20.4,16.2,14.5
278,15.1,14.4,14.0
279,9.7,11.0,8.7
281,21.6,18.3,14.0
282,16.8,12.3,10.4
283,11.9,10.3,9.6
284,6.3,7.1,4.8
286,15.7,12.8,9.0
287,11.9,8.0,5.7
288,8.3,6.2,5.2
289,2.5,3.2,0.5
291,9.5,7.1,3.9
292,6.6,3.2,0.8
293,3.7,1.6,0.2
294,-1.9,-1.4,-4.3
296,4.3,2.4,-0.4
297,2.2,-1.0,-3.3
298,-0.6,-2.6,-3.9
299,-6.7,-6.4,-9.2
301,2.0,0.0,-3.2
302,-0.7,-4.1,-6.4
303,-4.3,-6.0,-7.0
304,-10.7,-10.0,-12.9
306,4.0,1.6,-2.3
307,0.8,-3.5,-5.9
308,-3.5,-5.1,-6.3
309,-9.9,-9.0,-11.9
311,9.1,6.4,2.5
312,5.6,1.2,-0.9
313,1.3,-0.4,-1.1
314,-4.8,-3.8,-6.5
316,14.9,12.1,8.1
317,10.6,6.4,4.2
318,5.7,4.2,3.6
319,-0.8,0.4,-2.2
321,22.0,18.7,13.9
322,17.2,12.3,9.7
323,12.1,10.1,8.8
324,5.3,6.4,3.3
326,24.1,20.4,15.5
327,19.6,14.3,11.9
