,1,2,3
277,3.9,3.8,3.7
278,3.7,3.7,3.7
279,3.8,3.8,3.7
281,4.1,3.7,3.4
282,3.7,3.4,3.3
283,3.3,3.3,3.2
284,3.3,3.3,3.3
286,2.8,2.7,2.5
287,2.6,2.4,2.3
288,2.4,2.3,2.2
289,2.3,2.3,2.3
291,1.6,1.5,1.5
292,1.5,1.5,1.5
293,1.5,1.4,1.3
294,1.6,1.4,1.5
296,1.1,1.0,1.0
297,1.1,1.0,1.1
298,1.1,1.0,0.9
299,1.2,1.1,1.1
301,1.1,1.0,0.9
302,1.1,1.0,1.0
303,1.0,0.9,0.9
304,1.1,1.0,1.0
306,1.7,1.6,1.4
307,1.5,1.4,1.3
308,1.4,1.3,1.2
309,1.4,1.4,1.3
311,2.7,2.5,2.2
312,2.4,2.2,2.1
313,2.2,2.1,2.0
314,2.2,2.1,2.1
316,4.1,3.8,3.4
317,3.6,3.2,3.0
318,3.1,3.0,2.9
319,3.0,2.9,2.9
321,5.6,5.1,4.5
322,5.0,4.3,4.1
323,4.2,4.0,3.8
324,3.9,3.8,3.7
326,6.1,5.6,4.9
327,5.5,4.9,4.6
328,4.9,4.7,4.5
329,4.7,4.6,4.4
331,4.8,4.5,4.3
332,4.5,4.2,4.2
333,4.2,4.2,4.2
334,4.3,4.3,4.2
336,4.2,4.0,3.8
337,4.0,3.8,3.7
338,3.7,3.8,3.8
339,3.9,3.8,3.8
341,4.0,3.7,3.4
342,3.6,3.3,3.3
343,3.3,3.2,3.2
344,3.3,3.3,3.2
346,2.8,2.7,2.5
347,2.6,2.4,2.3
348,2.4,2.3,2.2
349,2.3,2.3,2.2
351,1.6,1.5,1.5
352,1.5,1.5,1.5
353,1.5,1.4,1.3
354,1.6,1.4,1.5
356,1.1,1.1,1.0
357,1.1,1.1,1.1
358,1.1,1.0,0.9
359,1.2,1.1,1.1
361,1.3,1.2,1.1
362,1.2,1.1,1.0
363,1.1,1.0,0.9
364,1.2,1.1,1.1
366,1.7,1.6,1.4
367,1.5,1.4,1.3
368,1.4,1.3,1.2
369,1.4,1.4,1.3
371,2.6,2.4,2.1
372,2.3,2.1,2.0
373,2.1,2.0,1.9
374,2.1,2.1,2.0
376,4.1,3.8,3.3
377,3.6,3.2,3.1
378,3.1,3.0,2.9
379,3.0,3.0,3.0
381,5.3,4.8,4.3
382,4.7,4.1,3.9
383,4.0,3.8,3.6
384,3.8,3.7,3.7
386,5.9,5.4,4.8
387,5.3,4.7,4.4
388,4.7,4.5,4.3
389,4.5,4.4,4.3
391,4.8,4.6,4.3
392,4.5,4.2,4.2
393,4.2,4.2,4.3
394,4.4,4.4,4.3
396,4.1,3.9,3.8
397,3.9,3.7,3.7
398,3.7,3.7,3.7
399,3.8,3.8,3.8
401,4.0,3.7,3.4
402,3.6,3.3,3.2
403,3.3,3.2,3.1
404,3.2,3.2,3.2
406,2.7,2.6,2.4
407,2.4,2.3,2.2
408,2.2,2.1,2.0
409,2.2,2.1,2.1
411,1.5,1.5,1.4
412,1.5,1.4,1.4
413,1.4,1.3,1.2
414,1.5,1.4,1.4
416,1.1,1.0,1.0
417,1.1,1.1,1.1
418,1.1,1.0,0.9
419,1.2,1.1,1.1
421,1.2,1.1,1.0
422,1.2,1.1,1.0
423,1.1,1.0,0.9
424,1.2,1.1,1.1
426,1.8,1.6,1.4
427,1.6,1.4,1.3
428,1.4,1.3,1.2
429,1.5,1.4,1.3
431,2.8,2.5,2.2
432,2.4,2.1,2.0
433,2.1,2.0,1.9
434,2.1,2.0,2.0
436,4.2,3.9,3.5
437,3.6,3.3,3.1
438,3.2,3.0,2.9
439,3.0,2.9,2.9
441,5.4,4.9,4.4
442,4.8,4.2,3.9
443,4.1,3.9,3.7
444,3.8,3.8,3.7
446,6.2,5.7,5.0
447,5.5,4.9,4.6
448,4.9,4.7,4.5
449,4.7,4.5,4.4
451,4.8,4.6,4.3
452,4.5,4.3,4.2
453,4.3,4.3,4.3
454,4.4,4.4,4.3
456,4.1,3.9,3.7
457,3.9,3.7,3.7
458,3.7,3.7,3.7
459,3.8,3.8,3.8
461,4.0,3.6,3.4
462,3.6,3.3,3.3
463,3.3,3.2,3.2
464,3.3,3.3,3.2
466,2.7,2.6,2.4
467,2.5,2.3,2.2
468,2.3,2.2,2.1
469,2.2,2.2,2.1
471,1.5,1.5,1.4
472,1.5,1.4,1.4
473,1.5,1.4,1.3
474,1.5,1.4,1.4
476,1.1,1.0,1.0
477,1.1,1.0,1.1
478,1.1,1.0,0.9
479,1.2,1.1,1.1
481,1.2,1.0,1.0
482,1.1,1.0,1.0
483,1.1,0.9,0.9
484,1.1,1.0,1.0
486,1.7,1.5,1.3
487,1.5,1.4,1.3
488,1.4,1.3,1.2
489,1.4,1.4,1.3
491,2.8,2.6,2.3
492,2.5,2.2,2.1
493,2.2,2.1,2.0
494,2.2,2.1,2.1
496,4.2,3.9,3.4
497,3.7,3.3,3.2
498,3.3,3.1,3.1
