DATE,AVG MAX TEMPERATURE
292,17.13333333
292,11.66666667
293,30.4
293,23.5
293,20.33333333
293,15
294,32.93333333
294,26.73333333
294,23.9
294,18.93333333
295,30.96666667
295,26.36666667
295,24.56666667
295,21.03333333
296,29.96666667
296,25.36666667
296,23.46666667
296,19.9
297,29.66666667
297,24.53333333
297,22.06666667
297,17.93333333
298,26.86666667
298,21.2
298,18.43333333
298,13.7
299,19.33333333
299,13.83333333
299,10.93333333
299,6.1
300,14.66666667
300,9.6
300,6.633333333
300,2.1
301,13.6
301,8.1
301,5
301,0.1
302,16.13333333
302,10.03333333
302,6.7
302,1.4
303,18.5
303,12.43333333
303,9.8
303,4.833333333
304,22.86666667
304,16.23333333
304,13.33333333
304,8.233333333
305,28.73333333
305,21.83333333
305,18.86666667
305,13.6
306,33.96666667
306,27.6
306,24.56666667
306,19.16666667
307,31.96666667
307,27.13333333
307,25.03333333
307,21.2
308,30.63333333
308,26.16666667
308,24.56666667
308,21
309,29.66666667
309,24.63333333
309,22.53333333
309,18.4
310,26.1
310,20.43333333
310,17.66666667
310,12.76666667
311,18.06666667
311,12.36666667
311,9.333333333
311,4.233333333
312,14.43333333
312,9.5
312,6.566666667
312,1.933333333
313,11.56666667
313,5.8
313,2.466666667
313,-2.666666667
314,12.63333333
314,6.6
314,3.566666667
314,-1.4
315,18.16666667
315,11.86666667
315,8.533333333
315,3.433333333
316,24.76666667
316,18.4
316,15.56666667
316,10.5
317,29.56666667
317,22.73333333
317,19.53333333
317,14.1
318,33.16666667
318,27
318,24.1
318,18.96666667
319,31.56666667
319,26.86666667
319,25.06666667
319,21.36666667
320,30.06666667
320,25.73333333
320,23.93333333
320,20.46666667
321,29.33333333
321,24.33333333
321,21.9
321,17.73333333
322,27.2
322,21.83333333
322,19.26666667
322,14.5
323,20.43333333
323,15.1
323,12.23333333
323,7.266666667
324,15.5
324,10.33333333
324,7.366666667
324,2.266666667
325,12.43333333
325,6.6
325,2.7
325,-2.5
326,14.63333333
326,8.5
326,5.133333333
326,-0.1
327,19.23333333
327,12.73333333
327,8.666666667
327,3.366666667
328,25.56666667
328,18.86666667
328,15.5
328,10.26666667
329,31.96666667
329,24.93333333
329,21.5
329,16.03333333
330,33.86666667
330,27.6
330,24.63333333
330,19.53333333
331,31.43333333
331,26.66666667
331,24.2
331,20.43333333
332,30.26666667
332,25.6
332,23.33333333
332,19.73333333
333,29.03333333
333,23.76666667
333,21
333,16.73333333
334,27.53333333
334,21.6
334,18.56666667
334,13.6
335,21
335,15.63333333
335,12.86666667
335,7.866666667
336,14
336,8.766666667
336,5.833333333
336,0.933333333
337,11.9
337,5.7
337,2.166666667
337,-3.166666667
338,12.53333333
338,6.333333333
338,3.033333333
338,-2.6
339,21.53333333
339,15.2
339,12.03333333
339,6.766666667
340,26.76666667
340,20.36666667
340,17.4
340,12.4
341,31.1
341,23.93333333
341,20.36666667
341,14.8
342,33.76666667
342,27.56666667
342,24.4
342,19.1
343,30.96666667
343,26.16666667
343,24.16666667
343,20.43333333
344,29.8
344,25.53333333
344,23.8
344,20.16666667
345,30.3
345,25.3
345,22.93333333
345,18.76666667
346,26.16666667
346,20.23333333
346,17.16666667
346,12.13333333
347,20.83333333
347,15.23333333
347,12.26666667
347,7.166666667
